City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
myitkyina,56,MM,1544041330,91,25.38,97.4,59.42,2.37
simoes,92,BR,1544041331,98,-7.6,-40.82,67.29,2.93
darhan,20,MN,1544041331,48,49.49,105.92,-31.13,3.04
ancud,0,CL,1544040000,40,-41.87,-73.83,71.6,10.29
atar,0,MR,1544041332,24,20.52,-13.05,62.03,5.28
naryan-mar,76,RU,1544041332,90,67.67,53.09,20.81,12.1
victoria,75,BN,1544040000,83,5.28,115.24,80.6,2.24
tateyama,76,JP,1544041333,100,36.66,137.31,33.99,2.37
porto novo,20,BR,1544040000,44,-23.68,-45.44,80.6,9.17
whitstable,75,GB,1544039400,93,51.36,1.03,55.4,10.29
tongchuan,44,CN,1544040000,92,34.9,108.95,23.0,2.24
karratha,0,AU,1544041336,88,-20.74,116.85,66.3,3.6
singkang,75,MY,1544036400,94,2.1,102.8,77.0,3.36
bonfim,40,BR,1544036400,38,-20.33,-44.24,87.8,5.82
dakar,0,SN,1544040000,88,14.69,-17.45,77.0,6.93
nome,1,US,1544040900,35,30.04,-94.42,60.08,3.36
kavaratti,24,IN,1544041337,100,10.57,72.64,83.04,9.08
nabire,32,ID,1544041338,94,-3.36,135.5,68.51,2.48
redlands,90,US,1544039700,81,34.06,-117.19,55.4,1.92
grand gaube,40,MU,1544040000,88,-20.01,57.66,77.0,4.7
dargaville,80,NZ,1544041339,81,-35.94,173.86,61.44,18.48
mingshui,88,CN,1544041339,97,22.81,109.89,69.5,2.26
ust-kut,48,RU,1544041339,40,56.78,105.75,-26.81,3.71
kourou,92,GF,1544040000,83,5.16,-52.64,80.6,4.7
choix,68,MX,1544041340,64,26.71,-108.33,70.31,2.04
potiskum,0,NG,1544041340,30,11.71,11.08,70.08,11.54
acapulco,40,MX,1544038920,70,16.86,-99.88,86.0,9.17
bavly,48,RU,1544041341,78,54.4,53.24,8.93,3.15
caravelas,80,BR,1544041341,100,-17.73,-39.27,79.62,13.22
agadez,0,NE,1544041342,32,16.97,7.99,66.12,10.98
ponta delgada,20,PT,1544038200,82,37.73,-25.67,60.8,4.7
xai-xai,36,MZ,1544041342,90,-25.04,33.64,78.95,13.22
bubaque,20,GW,1544041139,96,11.28,-15.83,83.04,4.72
mtambile,20,TZ,1544041343,99,-5.38,39.7,81.65,7.96
cabras,92,CO,1544041343,98,5.5,-75.6,59.78,1.7
livingstone,8,ZW,1544041344,73,-17.85,25.86,71.48,3.71
fort nelson,75,CA,1544036400,84,58.81,-122.69,8.6,10.29
oga,0,NG,1544041344,58,8.18,5.65,72.38,3.27
haines junction,24,CA,1544041387,77,60.75,-137.51,-2.87,2.04
riberalta,90,BO,1544040000,94,-11.0,-66.08,77.0,1.81
piranshahr,92,IR,1544041388,98,36.7,45.14,39.84,1.7
buraydah,75,SA,1544036400,100,26.33,43.97,62.6,3.36
northam,40,GB,1544039400,93,51.04,-4.21,51.8,3.36
goderich,56,CA,1544041203,85,43.74,-81.71,31.52,11.21
ayan,92,TR,1544041389,100,40.67,33.6,36.38,2.26
berdigestyakh,48,RU,1544041389,48,62.1,126.7,-29.69,7.74
trenggalek,88,ID,1544041389,99,-8.05,111.71,71.66,2.26
xiuyan,88,CN,1544041389,62,40.29,123.27,15.86,2.48
tandil,88,AR,1544041390,50,-37.33,-59.14,66.98,11.21
oliveira dos brejinhos,92,BR,1544041390,100,-12.32,-42.89,67.88,3.71
barcelos,75,PT,1544038200,77,41.53,-8.62,59.0,4.7
krasyliv,88,UA,1544041391,93,49.66,26.97,31.74,11.21
monterey,90,US,1544039700,66,36.6,-121.89,60.8,3.36
borskoye,0,RU,1544041392,82,53.03,51.7,11.81,8.63
santa rosa,88,AR,1544041394,33,-36.62,-64.29,73.82,13.89
hami,0,CN,1544041394,39,42.84,93.51,-5.25,7.96
iqaluit,75,CA,1544040000,72,63.75,-68.52,12.2,2.24
pindwara,0,IN,1544041395,86,24.79,73.05,49.25,1.92
suntar,44,RU,1544041395,73,62.16,117.65,-24.42,7.18
burns lake,44,CA,1544041396,100,54.23,-125.76,11.18,2.93
ugoofaaru,64,MV,1544041396,100,5.67,73.0,82.01,4.05
santa cruz del sur,8,CU,1544041396,73,20.71,-78.0,81.83,7.4
jinji,92,CN,1544041396,99,22.16,112.49,69.5,3.49
lagoa,0,PT,1544038200,93,37.14,-8.45,57.2,2.24
hervey bay,40,AU,1544040000,83,-25.3,152.85,69.8,11.41
bambous virieux,40,MU,1544040000,88,-20.34,57.76,77.0,4.7
cherskiy,20,RU,1544041098,44,68.75,161.3,-27.75,2.71
saint-francois,0,FR,1544038200,93,46.42,3.91,46.4,4.83
rosario,12,UY,1544041399,47,-34.31,-57.35,69.95,13.89
chimbote,0,PE,1544041399,73,-9.08,-78.59,71.3,7.96
vila,92,IT,1544039400,93,45.18,8.4,42.8,3.36
mikuni,75,JP,1544040000,100,36.22,136.15,39.2,1.12
ingham,92,AU,1544041400,100,-18.65,146.16,73.1,9.64
vestmannaeyjar,76,IS,1544041400,100,63.44,-20.27,38.72,26.08
constantine,0,DZ,1544038200,76,36.36,6.61,51.8,2.24
baton rouge,1,US,1544039880,38,30.45,-91.15,57.74,6.93
jalu,0,LY,1544041401,88,29.03,21.55,58.38,9.86
cockburn town,75,TC,1544036400,66,21.46,-71.14,86.0,6.93
tiganesti,92,RO,1544041402,100,43.9,25.37,34.44,3.04
indiana,75,US,1544041200,92,40.62,-79.15,30.2,5.82
broome,75,GB,1544039820,100,52.47,1.45,53.6,10.29
kailua,75,US,1544039820,60,21.39,-157.74,80.06,12.75
sao joao da barra,20,BR,1544040000,62,-21.64,-41.05,84.2,16.11
kishtwar,56,IN,1544041403,82,33.31,75.77,25.58,1.7
xining,56,CN,1544041350,25,36.62,101.77,26.43,11.21
afzalpur,0,IN,1544041404,98,17.2,76.36,66.84,5.5
geraldton,90,CA,1544040000,85,49.72,-86.95,21.2,5.82
la ronge,20,CA,1544040000,76,55.1,-105.3,-4.01,3.36
rongcheng,44,CN,1544041405,100,37.16,122.42,27.02,5.17
abnub,40,EG,1544036400,59,27.27,31.15,64.4,16.11
yeppoon,75,AU,1544040000,78,-23.13,150.74,71.6,10.29
portel,76,PT,1544036400,100,38.31,-7.71,51.8,3.36
cuddapah,92,IN,1544041406,99,14.47,78.82,71.79,3.38
cabo san lucas,20,MX,1544039400,69,22.89,-109.91,80.6,11.41
maltahohe,0,NA,1544041447,37,-24.83,16.98,59.73,6.73
port augusta,0,AU,1544040000,39,-32.49,137.76,64.4,5.82
ajdabiya,68,LY,1544041448,91,30.75,20.22,53.88,8.97
aklavik,40,CA,1544040000,85,68.22,-135.01,10.4,4.7
nanortalik,56,GL,1544041449,82,60.14,-45.24,34.17,43.87
banjar,68,ID,1544041449,97,-7.37,108.54,70.85,2.48
santa isabel do rio negro,32,BR,1544041449,77,-0.41,-65.02,84.75,3.38
evensk,80,RU,1544041450,100,61.92,159.24,11.27,28.88
yangjiang,92,CN,1544041450,99,21.85,111.96,73.82,11.65
chara,20,GR,1544035800,45,39.42,22.43,50.0,4.7
paka,0,HR,1544040000,92,45.29,18.06,30.2,6.93
sovetskiy,76,RU,1544041451,90,56.76,48.47,20.72,8.63
black river,20,JM,1544040000,70,18.03,-77.85,84.2,8.05
bela,36,PK,1544041452,36,26.23,66.31,51.72,5.73
chapais,90,CA,1544040240,85,49.78,-74.86,14.0,9.17
bama,48,CN,1544041452,94,24.14,107.25,65.27,4.83
imbituba,20,BR,1544040000,69,-28.24,-48.67,73.4,16.11
ambunti,88,PG,1544041453,99,-4.22,142.82,76.2,2.48
lavrentiya,80,RU,1544041454,100,65.58,-170.99,23.28,28.21
caconda,24,AO,1544041454,97,-13.73,15.06,61.58,4.16
gonc,0,HU,1544040000,74,48.47,21.28,30.2,8.05
kinablangan,92,PH,1544041455,100,7.69,126.55,77.1,5.17
setermoen,40,NO,1544039400,100,68.86,18.35,24.8,16.11
cidreira,0,BR,1544041455,64,-30.17,-50.22,72.2,12.21
guarapari,20,BR,1544040000,78,-20.67,-40.5,82.4,11.41
guarare,40,PA,1544040000,62,7.82,-80.28,87.8,10.29
moose factory,90,CA,1544040000,79,51.26,-80.61,26.6,9.17
sembakung,44,ID,1544041456,97,3.82,117.25,74.94,2.37
saltpond,8,GH,1544041457,83,5.2,-1.06,76.74,4.5
praia da vitoria,20,PT,1544036400,72,38.73,-27.07,60.8,18.03
pochutla,75,MX,1544039700,70,15.74,-96.47,86.0,6.93
pak phanang,64,TH,1544041457,100,8.35,100.2,80.12,4.38
kununurra,12,AU,1544040000,94,-15.77,128.74,78.8,2.71
pacific grove,90,US,1544039700,66,36.62,-121.92,60.8,3.36
sikonge,40,TZ,1544036400,94,-5.63,32.75,68.0,9.17
verkhoyansk,20,RU,1544041458,0,67.55,133.39,-46.65,2.26
nacala,12,MZ,1544041459,92,-14.56,40.69,82.1,7.07
chinhoyi,64,ZW,1544041459,88,-17.36,30.19,66.08,13.33
khammam,88,IN,1544041365,97,17.25,80.15,69.0,2.93
vanimo,56,PG,1544041460,100,-2.67,141.3,82.1,8.63
port macquarie,92,AU,1544040000,88,-31.43,152.91,66.2,3.36
lata,44,IN,1544041461,97,30.78,78.62,35.7,1.36
samoded,92,RU,1544041461,91,63.61,40.52,33.99,8.86
sabirabad,40,AZ,1544040000,100,40.01,48.48,44.6,4.7
mosquera,40,CO,1544040000,55,4.71,-74.23,64.4,14.99
yenagoa,0,NG,1544041462,81,4.92,6.26,78.77,7.52
karaton,40,ID,1544040000,88,-6.34,106.1,77.0,2.24
jacmel,20,HT,1544040000,55,18.24,-72.54,87.8,9.17
hambantota,92,LK,1544041462,100,6.12,81.12,77.87,6.06
saint-pierre,0,FR,1544040000,87,48.95,4.24,51.8,13.87
daru,24,SL,1544041464,78,7.99,-10.85,77.73,7.4
vilnius,40,LT,1544039400,87,54.69,25.28,32.0,6.93
high level,64,CA,1544041507,83,58.52,-117.13,15.41,3.38
san patricio,0,PY,1544041507,70,-26.98,-56.83,84.53,2.37
shingu,8,JP,1544041508,100,33.72,135.99,60.32,5.5
cariati,0,IT,1544035800,76,39.5,16.95,51.8,5.82
sassandra,20,CI,1544041508,97,4.95,-6.09,83.94,8.97
dzhebariki-khaya,32,RU,1544041509,86,62.22,135.8,-40.13,2.82
lodi,75,IT,1544039400,87,45.31,9.5,48.2,4.7
voh,88,NC,1544041510,100,-20.95,164.69,75.17,14.79
antalaha,64,MG,1544041510,95,-14.9,50.28,75.75,6.29
baykit,48,RU,1544041510,79,61.68,96.39,-38.82,2.82
nicoya,20,CR,1544040000,49,10.15,-85.45,89.6,16.11
calama,0,CL,1544040000,4,-22.46,-68.93,73.4,18.34
aksum,0,ET,1544041511,75,14.12,38.72,50.55,2.37
los llanos de aridane,0,ES,1544040000,37,28.66,-17.92,69.8,5.82
jega,0,NG,1544041512,28,12.22,4.38,73.1,9.98
shwebo,8,MM,1544041512,86,22.57,95.7,60.68,5.39
lahat,80,ID,1544041512,97,-3.78,103.55,73.05,3.15
ibanda,32,UG,1544041513,91,0.33,30.08,62.57,1.7
waipawa,48,NZ,1544041513,64,-39.94,176.59,59.37,11.1
oktyabrskiy,90,RU,1544040000,92,55.61,37.97,30.2,6.71
rovaniemi,75,FI,1544039400,100,66.5,25.72,23.0,6.93
luganville,92,VU,1544041514,100,-15.51,167.18,78.54,9.08
lagos,20,NG,1544036400,83,6.46,3.39,84.2,3.36
algeciras,40,ES,1544040000,87,36.13,-5.45,60.8,2.24
laguna,90,MX,1544038920,33,27.52,-110.01,77.0,4.7
fare,56,PF,1544041520,100,-16.7,-151.02,79.58,9.42
chalmette,1,US,1544040900,44,29.94,-89.96,59.0,8.05
khuzhir,44,RU,1544041521,100,53.19,107.35,-26.67,8.86
roald,75,NO,1544039400,80,62.58,6.12,35.6,5.82
saint-augustin,90,FR,1544040000,93,44.83,-0.61,55.4,6.93
coihaique,20,CL,1544040000,33,-45.58,-72.07,77.0,6.93
merrill,1,US,1544039580,66,42.03,-121.6,33.98,6.93
coracora,0,PE,1544041523,18,-15.02,-73.78,59.42,4.38
ocampo,80,PH,1544041523,96,13.56,123.37,79.08,12.77
pontianak,88,ID,1544041523,100,-0.02,109.34,75.71,3.38
puerto escondido,75,MX,1544039700,70,15.86,-97.07,86.0,6.93
banda aceh,76,ID,1544041505,100,5.56,95.32,74.58,2.82
alexandria,1,US,1544040900,39,31.31,-92.44,56.3,5.82
roma,20,IT,1544039400,87,41.89,12.48,53.6,4.7
yinchuan,80,CN,1544041525,33,38.48,106.21,11.67,6.51
koygorodok,92,RU,1544041525,86,60.44,51.01,24.68,6.4
srednekolymsk,20,RU,1544041525,65,67.46,153.71,-34.82,3.15
faanui,12,PF,1544041526,100,-16.48,-151.75,80.21,11.77
ucluelet,5,CA,1544040000,65,48.94,-125.55,41.0,2.24
kampot,40,KH,1544040000,88,10.62,104.18,78.8,1.7
miracatu,0,BR,1544041526,48,-24.28,-47.45,77.78,5.39
liverpool,90,GB,1544039400,93,53.41,-2.98,51.8,10.29
abdulino,12,RU,1544041527,64,53.68,53.66,11.4,7.07
hobyo,92,SO,1544041527,87,5.35,48.53,80.03,13.22
subiaco,75,AU,1544040000,77,-31.95,115.83,59.0,14.99
marseille,0,FR,1544040000,87,43.3,5.37,55.4,3.36
santa cruz verapaz,0,GT,1544041528,76,15.37,-90.43,75.03,2.59
igarka,76,RU,1544041528,65,67.47,86.57,-21.59,20.04
taos,1,US,1544039760,27,36.41,-105.57,42.08,10.29
shelburne,75,CA,1544040000,71,44.08,-80.2,33.8,5.82
college,90,US,1544039880,95,64.86,-147.8,21.02,5.39
leh,68,IN,1544041567,59,34.16,77.58,-17.13,1.48
moerai,76,PF,1544041567,100,-22.43,-151.33,76.83,14.0
fairlie,1,US,1544039760,52,33.31,-95.96,54.32,5.82
brae,36,GB,1544039400,100,60.4,-1.35,41.0,9.17
straumen,75,NO,1544039400,86,63.87,11.3,35.6,14.99
camacha,20,PT,1544038200,82,33.08,-16.33,68.0,13.87
ornskoldsvik,0,SE,1544039400,74,63.29,18.72,30.2,18.34
nizhniy kuranakh,48,RU,1544041569,43,58.84,125.49,-28.52,5.73
parambu,92,BR,1544041569,96,-6.21,-40.7,69.23,7.96
yar-sale,88,RU,1544041569,91,66.83,70.83,19.5,13.22
merauke,24,ID,1544041484,96,-8.49,140.4,82.5,7.4
mmathubudukwane,0,BW,1544040000,18,-24.61,26.43,87.8,9.17
pechenga,92,RU,1544041570,91,58.89,41.46,28.73,14.0
dauriya,20,RU,1544041571,57,49.93,116.85,-21.23,7.96
poum,0,MK,1544041571,84,41.28,20.71,18.47,1.48
belen,75,TR,1544039400,93,36.49,36.19,55.4,9.17
sioux lookout,90,CA,1544041140,85,50.1,-91.92,17.6,8.05
kuznechnoye,64,RU,1544041572,89,61.12,29.87,33.23,11.43
antofagasta,0,CL,1544040000,52,-23.65,-70.4,69.8,16.11
tres arroyos,92,AR,1544041573,60,-38.38,-60.28,61.89,14.79
borazjan,0,IR,1544040000,77,29.27,51.21,68.0,4.7
chimore,76,BO,1544041573,72,-16.98,-65.13,82.91,3.71
tura,80,IN,1544041573,88,25.52,90.21,57.98,2.15
kiama,40,AU,1544040000,87,-34.67,150.86,60.8,4.7
tomball,1,US,1544040900,23,30.1,-95.62,60.8,3.36
portland,20,US,1544039580,48,45.52,-122.67,48.02,31.09
tecolutla,88,MX,1544041575,57,17.31,-98.74,74.4,2.26
dongsheng,92,CN,1544041575,98,29.72,112.52,41.51,17.81
aksarka,80,RU,1544041576,92,66.56,67.8,15.5,3.94
sumter,40,US,1544040240,34,33.92,-80.34,51.8,12.75
zamosc,40,PL,1544040000,100,50.72,23.25,30.2,4.7
altay,0,CN,1544041576,50,47.83,88.13,-33.87,2.26
kozhva,92,RU,1544041577,87,65.11,57.05,23.64,7.74
ca mau,12,VN,1544041577,92,9.18,105.15,79.53,10.76
hirara,88,JP,1544041578,100,24.8,125.28,76.02,9.42
riyadh,0,SA,1544040000,42,24.63,46.72,64.4,3.36
bara,0,NG,1544041578,26,10.41,10.6,74.58,11.99
grindavik,75,IS,1544040000,80,63.84,-22.43,37.4,13.87
jambi,80,ID,1544041579,98,-1.6,103.62,74.67,2.93
kasama,76,ZM,1544041579,98,-10.21,31.19,62.93,2.59
baoqing,0,CN,1544041580,64,46.32,132.2,-8.36,2.93
bembereke,0,BJ,1544041580,29,10.23,2.66,74.13,8.97
whitecourt,90,CA,1544040000,85,54.14,-115.68,19.4,3.36
la reforma,20,GT,1544040000,49,14.8,-91.82,91.4,6.93
ovalle,0,CL,1544041582,62,-30.6,-71.2,68.87,4.16
williams lake,90,CA,1544040000,85,52.13,-122.14,15.8,2.71
phan thiet,0,VN,1544041582,98,10.93,108.1,77.87,10.65
luis correia,40,BR,1544040000,62,-2.88,-41.67,84.2,8.05
lufilufi,75,WS,1544036400,66,-13.87,-171.6,84.2,5.82
terekli-mekteb,92,RU,1544041583,98,44.16,45.87,41.37,3.94
abomey,0,BJ,1544041583,43,7.18,1.99,79.4,5.39
mocuba,12,MZ,1544041584,62,-16.84,36.99,82.32,3.71
sao felix do xingu,80,BR,1544041584,83,-6.64,-51.99,81.78,1.7
mogwase,8,ZA,1544041584,53,-25.28,27.22,72.38,6.17
tezu,88,IN,1544041627,68,27.93,96.16,52.44,1.59
ilebo,8,CD,1544041627,92,-4.33,20.59,75.8,2.04
zyryanka,44,RU,1544041627,46,65.73,150.89,-28.34,5.84
soe,24,EE,1544039400,74,57.91,26.05,35.6,16.11
impfondo,44,CD,1544041628,98,1.62,18.06,72.65,1.92
abha,0,SA,1544036400,87,18.22,42.5,59.0,4.7
teguldet,8,RU,1544041628,0,57.31,88.17,-40.35,2.59
longyearbyen,75,NO,1544039400,95,78.22,15.63,32.0,3.36
carutapera,92,BR,1544041629,95,-1.2,-46.02,77.55,1.14
beringovskiy,0,RU,1544041629,100,63.05,179.32,-7.68,22.06
manavalakurichi,20,IN,1544040000,88,8.13,77.3,80.6,3.36
cristalina,64,BR,1544041630,86,-16.77,-47.61,77.06,3.27
lombardia,40,CO,1544040000,61,4.81,-75.68,77.0,4.7
tosham,0,IN,1544041631,82,28.87,75.92,48.35,2.82
guanica,90,PR,1544039400,97,17.97,-66.91,80.6,9.17
balkanabat,68,TM,1544041632,91,39.51,54.36,43.62,5.17
mabaruma,100,GY,1544041632,83,8.2,-59.78,79.31,7.85
akureyri,20,IS,1544041633,58,65.68,-18.09,-3.23,1.81
sangre grande,20,TT,1544040000,70,10.59,-61.13,84.2,13.87
lindsay,75,CA,1544040000,80,44.36,-78.74,32.0,4.7
bilma,76,NE,1544041634,40,18.69,12.92,59.37,4.72
